"option_id","option_name","vendor_id","vendor_name","vendor_phone","vendor_email","product_id","quantity","price","on_sale","specs","category_id","category_name"
"1201","Macbook Pro 13.3-inch","5000","Apple ","2569561656","apple@gmail.com","1200","3","1299","1","Macbook Pro 13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels","4000","Laptops"
"1202","Macbook Pro 15.4-inch","5000","Apple ","2569561656","apple@gmail.com","1200","2","2199","0","Macbook Pro 15.4-inch (diagonal) LED-backlit display with IPS technology; 2880-by-1800 native resolution at 220 pixels","4000","Laptops"
"1301","Macbook Air 11.6-inch","5000","Apple ","2569561656","apple@gmail.com","1300","1","999","0","Macbook Air 11.6-inch (diagonal) LED-backlit glossy widescreen display with support for millions of colors","4000","Laptops"
"1302","Macbook Air 13-inch","5000","Apple ","2569561656","apple@gmail.com","1300","4","1099","1","Macbook Air 13.3-inch (diagonal) LED-backlit glossy widescreen display with support for millions of colors","4000","Laptops"
"1401","Iphone X 128GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1400","5","799","1","Iphone X Storage capacity 128 GB","4100","Mobile phones"
"1402","Iphone X 256GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1400","7","899","0","Iphone X Storage capacity 256 GB","4100","Mobile phones"
"1501","Iphone 7 64GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1500","8","399","0","Iphone 7 Storage capacity 64 GB","4100","Mobile phones"
"1502","Iphone 7 32GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1500","9","499","1","Iphone 7 Storage capacity 32 GB","4100","Mobile phones"
"1601","Iphone 8 64GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1600","4","599","0","Iphone 8 Storage capacity 64 GB ","4100","Mobile phones"
"1602","Iphone 8 128GB","5100","Microsoft ","6165486561","microsoft@gmail.com","1600","7","699","1","Iphone 8 Storage capacity 128 GB","4100","Mobile phones"
"1701","Ipad Air 9.7-inch","5200","Lenovo ","3215689466","lenovo@gmail.com","1700","20","899","1","Ipad Air 9.7-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","4200","Tablets"
"1702","Ipad Air 12-inch","5200","Lenovo ","3215689466","lenovo@gmail.com","1700","9","999","0","Ipad Air 12-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","4200","Tablets"
"1801","Ipad Mini 7.9-inch","5200","Lenovo ","3215689466","lenovo@gmail.com","1800","40","499","1","Ipad Mini 7.9-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","4200","Tablets"
"1802","Ipad Mini 10-inch","5200","Lenovo ","3215689466","lenovo@gmail.com","1800","100","599","1","Ipad Mini 10-inch (diagonal) LED-backlit Multi-Touch display with IPS technology","4200","Tablets"
"1901","""ESC8000 G3 - 8 G Intel Xeon E5-1603 V4(2.80GHz,140W,L3:10M)""","5300","Asus ","9568484613","asus@gmail.com","1900","4","650","1","ESC4000 G3 Server with 2U 4-GPU Hybrid Computing Power with Mass Storage Capability","4300","Servers"
"1902","""ESC8000 G3 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)""","5300","Asus ","9568484613","asus@gmail.com","1900","6","750","0","ESC8000 G4 Server with High-density 4U GPU server support 8 GPUs","4300","Servers"
"2001","""ESC8000 G4 - 8 G Intel Xeon E5-1603 v3 (3.5G,140W,L3:10M,4C,HT)""","5300","Asus ","9568484613","asus@gmail.com","2000","1","450","0","RS100-E8-PI2 Server with Smart compact 1U server","4300","Servers"
"2002","""ESC8000 G4 - 8 G Intel Xeon E5-1620 v3 (3.5G,140W,L3:10M,4C,HT)""","5300","Asus ","9568484613","asus@gmail.com","2000","2","550","1","RS300-E9-PI4 Server with Flagship Model with Versatile Expandability","4300","Servers"
